Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteColletion,Chrome 66.0.3359.181,Test1 and Test2,2018-05-30 11:12:45,2018-05-30 11:13:07,22.634s,PASSED
,,,,,,
Test Cases/TestsByTom/Test1ByTom,Chrome 66.0.3359.181,,2018-05-30 11:12:45,2018-05-30 11:12:52,7.219s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-30 11:12:45,2018-05-30 11:12:49,4.112s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-30 11:12:49,2018-05-30 11:12:51,2.180s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-30 11:12:51,2018-05-30 11:12:52,0.696s,PASSED
,,,,,,
Test Cases/TestsByKim/Test2ByKim,Chrome 66.0.3359.181,,2018-05-30 11:12:52,2018-05-30 11:12:58,6.133s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-30 11:12:52,2018-05-30 11:12:58,5.330s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-30 11:12:58,2018-05-30 11:12:58,0.679s,PASSED
,,,,,,
Test Cases/TestsByTom/Test2ByTom,Chrome 66.0.3359.181,,2018-05-30 11:12:58,2018-05-30 11:13:07,8.950s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-30 11:12:58,2018-05-30 11:13:02,3.494s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-30 11:13:02,2018-05-30 11:13:07,4.616s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-30 11:13:07,2018-05-30 11:13:07,0.723s,PASSED
